2026-09-17 14:22:51.473 s2: in extension: a-1080p30-h264.mp4: loops 20, max presented gap 1.32 frames (at seam 1.09), over 1.5: 0, renderer dropped 64/3123, min seam lead 1.28 s, markers skipped 81
2026-09-17 14:24:31.469 s2: in extension: a-1080p30-h264.mp4: loops 40, max presented gap 1.32 frames (at seam 1.09), over 1.5: 0, renderer dropped 64/6123, min seam lead 1.26 s, markers skipped 161
2026-09-17 14:26:11.469 s2: in extension: a-1080p30-h264.mp4: loops 60, max presented gap 1.32 frames (at seam 1.09), over 1.5: 0, renderer dropped 64/9119, min seam lead 1.26 s, markers skipped 241
2026-09-17 14:27:51.469 s2: in extension: a-1080p30-h264.mp4: loops 80, max presented gap 1.32 frames (at seam 1.09), over 1.5: 0, renderer dropped 64/12138, min seam lead 1.26 s, markers skipped 321
2026-09-17 14:29:31.469 s2: in extension: a-1080p30-h264.mp4: loops 100, max presented gap 1.32 frames (at seam 1.09), over 1.5: 0, renderer dropped 64/15157, min seam lead 1.20 s, markers skipped 401
2026-09-17 14:31:11.469 s2: in extension: a-1080p30-h264.mp4: loops 120, max presented gap 1.32 frames (at seam 1.09), over 1.5: 0, renderer dropped 64/18144, min seam lead 1.20 s, markers skipped 481
2026-09-17 14:32:51.469 s2: in extension: a-1080p30-h264.mp4: loops 140, max presented gap 1.32 frames (at seam 1.09), over 1.5: 0, renderer dropped 64/21120, min seam lead 1.20 s, markers skipped 561
2026-09-17 14:34:31.469 s2: in extension: a-1080p30-h264.mp4: loops 160, max presented gap 1.32 frames (at seam 1.09), over 1.5: 0, renderer dropped 64/24145, min seam lead 1.20 s, markers skipped 641
2026-09-17 14:36:11.469 s2: in extension: a-1080p30-h264.mp4: loops 180, max presented gap 1.32 frames (at seam 1.11), over 1.5: 0, renderer dropped 64/27145, min seam lead 1.20 s, markers skipped 721
2026-09-17 14:37:51.469 s2: in extension: a-1080p30-h264.mp4: loops 200, max presented gap 1.32 frames (at seam 1.11), over 1.5: 0, renderer dropped 64/30149, min seam lead 1.20 s, markers skipped 801
2026-09-17 14:39:31.467 s2: in extension: a-1080p30-h264.mp4: loops 220, max presented gap 1.32 frames (at seam 1.11), over 1.5: 0, renderer dropped 64/33144, min seam lead 1.20 s, markers skipped 881
2026-09-17 14:41:11.469 s2: in extension: a-1080p30-h264.mp4: loops 240, max presented gap 1.32 frames (at seam 1.11), over 1.5: 0, renderer dropped 64/36122, min seam lead 1.20 s, markers skipped 961
2026-09-17 14:42:51.469 s2: in extension: a-1080p30-h264.mp4: loops 260, max presented gap 1.56 frames (at seam 1.11), over 1.5: 2, renderer dropped 64/39138, min seam lead 1.15 s, markers skipped 1041
2026-09-17 14:44:31.469 s2: in extension: a-1080p30-h264.mp4: loops 280, max presented gap 1.56 frames (at seam 1.32), over 1.5: 2, renderer dropped 64/42142, min seam lead 1.15 s, markers skipped 1121
2026-09-17 14:46:11.467 s2: in extension: a-1080p30-h264.mp4: loops 300, max presented gap 1.56 frames (at seam 1.32), over 1.5: 2, renderer dropped 64/45144, min seam lead 1.15 s, markers skipped 1201
2026-09-17 14:52:53.136 s2: in extension: b-1080p30-h264.mp4: loops 20, max presented gap 0.00 frames (at seam 0.00), over 1.5: 0, renderer dropped 0/3045, min seam lead 1.23 s, markers skipped 81
2026-09-17 14:54:33.135 s2: in extension: b-1080p30-h264.mp4: loops 40, max presented gap 0.00 frames (at seam 0.00), over 1.5: 0, renderer dropped 0/6051, min seam lead 1.23 s, markers skipped 161
2026-09-17 14:56:13.139 s2: in extension: b-1080p30-h264.mp4: loops 60, max presented gap 0.00 frames (at seam 0.00), over 1.5: 0, renderer dropped 6/9052, min seam lead 1.23 s, markers skipped 241
2026-09-17 15:07:17.380 s2: in extension: a-1080p30-h264.mp4: loops 20, max presented gap 1.20 frames (at seam 1.08), over 1.5: 0, renderer dropped 3/8094, min seam lead 1.22 s, markers skipped 81
2026-09-17 15:08:57.380 s2: in extension: a-1080p30-h264.mp4: loops 40, max presented gap 1.20 frames (at seam 1.08), over 1.5: 0, renderer dropped 3/11099, min seam lead 1.19 s, markers skipped 161
2026-09-17 15:10:37.380 s2: in extension: a-1080p30-h264.mp4: loops 60, max presented gap 1.20 frames (at seam 1.10), over 1.5: 0, renderer dropped 3/14105, min seam lead 1.19 s, markers skipped 241
2026-09-17 15:12:17.380 s2: in extension: a-1080p30-h264.mp4: loops 80, max presented gap 1.20 frames (at seam 1.10), over 1.5: 0, renderer dropped 3/17100, min seam lead 1.19 s, markers skipped 321
2026-09-17 15:13:57.380 s2: in extension: a-1080p30-h264.mp4: loops 100, max presented gap 1.20 frames (at seam 1.10), over 1.5: 0, renderer dropped 3/20102, min seam lead 1.19 s, markers skipped 401
2026-09-17 15:15:37.381 s2: in extension: a-1080p30-h264.mp4: loops 120, max presented gap 1.32 frames (at seam 1.10), over 1.5: 0, renderer dropped 3/23089, min seam lead 1.19 s, markers skipped 481
2026-09-17 15:17:17.381 s2: in extension: a-1080p30-h264.mp4: loops 140, max presented gap 1.32 frames (at seam 1.10), over 1.5: 0, renderer dropped 3/26092, min seam lead 1.19 s, markers skipped 561
2026-09-17 15:18:57.381 s2: in extension: a-1080p30-h264.mp4: loops 160, max presented gap 1.32 frames (at seam 1.10), over 1.5: 0, renderer dropped 3/29106, min seam lead 1.19 s, markers skipped 641
2026-09-17 15:20:37.381 s2: in extension: a-1080p30-h264.mp4: loops 180, max presented gap 1.32 frames (at seam 1.10), over 1.5: 0, renderer dropped 3/32101, min seam lead 1.15 s, markers skipped 721
2026-09-17 15:22:17.380 s2: in extension: a-1080p30-h264.mp4: loops 200, max presented gap 1.32 frames (at seam 1.10), over 1.5: 0, renderer dropped 3/35095, min seam lead 1.15 s, markers skipped 801
2026-09-17 15:23:57.380 s2: in extension: a-1080p30-h264.mp4: loops 220, max presented gap 1.32 frames (at seam 1.10), over 1.5: 0, renderer dropped 3/38089, min seam lead 1.15 s, markers skipped 881
2026-09-17 15:25:37.378 s2: in extension: a-1080p30-h264.mp4: loops 240, max presented gap 1.32 frames (at seam 1.10), over 1.5: 0, renderer dropped 3/41102, min seam lead 1.15 s, markers skipped 961
2026-09-17 15:27:17.378 s2: in extension: a-1080p30-h264.mp4: loops 260, max presented gap 1.32 frames (at seam 1.32), over 1.5: 0, renderer dropped 3/44101, min seam lead 1.15 s, markers skipped 1041
2026-09-17 15:28:57.378 s2: in extension: a-1080p30-h264.mp4: loops 280, max presented gap 1.32 frames (at seam 1.32), over 1.5: 0, renderer dropped 3/47095, min seam lead 1.15 s, markers skipped 1121
2026-09-17 15:32:31.797 s2: in extension: a-1080p30-h264.mp4: loops 20, max presented gap 1.32 frames (at seam 1.08), over 1.5: 0, renderer dropped 0/5442, min seam lead 1.23 s, markers skipped 81
2026-09-17 15:34:11.797 s2: in extension: a-1080p30-h264.mp4: loops 40, max presented gap 1.32 frames (at seam 1.08), over 1.5: 0, renderer dropped 0/8424, min seam lead 1.23 s, markers skipped 161
2026-09-17 15:35:51.796 s2: in extension: a-1080p30-h264.mp4: loops 60, max presented gap 1.32 frames (at seam 1.11), over 1.5: 0, renderer dropped 0/11439, min seam lead 1.23 s, markers skipped 241
2026-09-17 15:37:31.796 s2: in extension: a-1080p30-h264.mp4: loops 80, max presented gap 1.32 frames (at seam 1.11), over 1.5: 0, renderer dropped 0/14429, min seam lead 1.23 s, markers skipped 321
2026-09-17 15:39:11.796 s2: in extension: a-1080p30-h264.mp4: loops 100, max presented gap 1.32 frames (at seam 1.11), over 1.5: 0, renderer dropped 0/17426, min seam lead 1.23 s, markers skipped 401
2026-09-17 15:40:51.796 s2: in extension: a-1080p30-h264.mp4: loops 120, max presented gap 1.32 frames (at seam 1.11), over 1.5: 0, renderer dropped 0/20419, min seam lead 1.23 s, markers skipped 481
2026-09-17 15:42:31.796 s2: in extension: a-1080p30-h264.mp4: loops 140, max presented gap 1.32 frames (at seam 1.11), over 1.5: 0, renderer dropped 0/23447, min seam lead 1.20 s, markers skipped 561
2026-09-17 15:44:11.797 s2: in extension: a-1080p30-h264.mp4: loops 160, max presented gap 1.32 frames (at seam 1.11), over 1.5: 0, renderer dropped 0/26445, min seam lead 1.20 s, markers skipped 641
2026-09-17 15:45:51.796 s2: in extension: a-1080p30-h264.mp4: loops 180, max presented gap 1.32 frames (at seam 1.11), over 1.5: 0, renderer dropped 0/29441, min seam lead 1.20 s, markers skipped 721
2026-09-17 15:47:31.798 s2: in extension: a-1080p30-h264.mp4: loops 200, max presented gap 1.44 frames (at seam 1.11), over 1.5: 0, renderer dropped 0/32441, min seam lead 1.20 s, markers skipped 801
2026-09-17 15:49:11.797 s2: in extension: a-1080p30-h264.mp4: loops 220, max presented gap 1.44 frames (at seam 1.11), over 1.5: 0, renderer dropped 0/35443, min seam lead 1.20 s, markers skipped 881
2026-09-17 15:50:51.797 s2: in extension: a-1080p30-h264.mp4: loops 240, max presented gap 1.44 frames (at seam 1.11), over 1.5: 0, renderer dropped 0/38440, min seam lead 1.20 s, markers skipped 961
2026-09-17 15:52:31.797 s2: in extension: a-1080p30-h264.mp4: loops 260, max presented gap 1.44 frames (at seam 1.11), over 1.5: 0, renderer dropped 0/41440, min seam lead 1.19 s, markers skipped 1041
